drop_frac,retained_frac,n_retained,median_km,within_500m
0,1,257336,0.0460441291051353,74.5915845431654
0.1,0.899998445611963,231602,0.0374703513361479,79.8538009170905
0.2,0.799996891223925,205868,0.0314406079773408,83.7983562282628
0.3,0.699999222805981,180135,0.0272669871468913,86.8931634607378
0.4,0.599997668417944,154401,0.0245072663649768,89.4799904145699
0.5,0.5,128668,0.0227389694513068,91.3770323623589
