stratum,level,n_total,n_geocoded,match_rate,median_km,p90,p95,p99,within_100m,within_500m,within_1km,suppressed
overall,all,257339,257336,99.9988342225625,0.0460441291051353,6.68716880002263,15.4037663339648,45.9078327421238,60.616858892654,74.5915845431654,79.9355706158485,FALSE
urban_rural,urban,175766,175763,99.9982931852577,0.0379724500225292,1.65656274702787,6.70432677827262,25.1014784368241,67.7008244055916,82.3870780539704,87.38585481586,FALSE
urban_rural,rural,79439,79439,100,0.210840680062692,17.3691217144896,29.9020529869965,73.5765559767484,44.8406953763265,57.2099346668513,63.3202834879593,FALSE
urban_rural,NA,2134,2134,100,0.041796625166113,3.19096726972819,9.54320429415297,186.074679229524,64.4329896907217,79.5688847235239,84.817244611059,FALSE
region,Norte,24696,24696,100,0.0376153063565275,24.499857698853,50.7269708044047,129.495870886884,61.3905085843862,70.6430191124069,74.6396177518627,FALSE
region,Nordeste,93096,93096,100,0.0355850811150034,6.85963162187163,15.2297637591737,35.3292749060561,61.3023115923348,76.1289421672252,81.3439890006015,FALSE
region,Sudeste,60044,60044,100,0.0363077496886894,1.75499103151881,8.11811342735599,27.1893685419768,71.8806208780228,84.1249750183199,87.7839584304843,FALSE
region,Sul,63347,63347,100,0.151375015747863,7.93102770147874,13.698189036617,32.6628561991114,45.834846164775,63.0400808246642,70.9710009945222,FALSE
region,Centro-Oeste,16156,16153,99.9814310472889,0.0377740402642097,2.16801521152836,13.7404459485867,56.4816104604406,71.5842258404012,81.631895004024,85.8973565281991,FALSE
vintage,2018,46438,46438,100,0.0518196669453725,6.47858374385676,13.5470830376427,36.6548723308785,58.5231922132736,73.0931564666868,78.8685989922047,FALSE
vintage,2020,51366,51366,100,0.0478020332450497,6.21180878655514,13.6465249546465,37.6323650364212,59.8800763150722,74.058715882101,79.6110267492116,FALSE
vintage,2022,72177,72177,100,0.0445650008532627,6.98592677419854,16.4518095077756,49.6793456334709,60.9266109702537,74.6234950191889,79.9271235989304,FALSE
vintage,2024,87358,87355,99.9965658554454,0.0436214358117657,6.90873553580592,16.8158548568662,52.7817451513631,61.9071604372961,75.6751187682445,80.7005895483945,FALSE
urban_rural:vintage,urban:2018,32655,32655,100,0.0397937941484848,1.87824119282824,6.96927026555464,23.9118589261661,66.335936303782,81.4882866329812,86.703414484765,FALSE
urban_rural:vintage,rural:2018,13384,13384,100,0.394336196938308,15.2235402499781,25.1079977045794,57.1174435589084,39.3604303646145,52.4506873879259,59.6010161386731,FALSE
urban_rural:vintage,NA:2018,399,399,100,0.043884733431222,3.49856585542515,9.55512804077227,206.638741691468,61.9047619047619,78.4461152882206,83.9598997493734,FALSE
urban_rural:vintage,urban:2020,36050,36050,100,0.0381291306155106,1.67721020885406,6.54133827096873,23.4487468819188,67.5506241331484,82.3190013869626,87.2787794729542,FALSE
urban_rural:vintage,rural:2020,14869,14869,100,0.335887413934521,15.5574498189477,25.8504954063763,57.564167937963,41.1729100813774,53.8906449660367,60.8850628825072,FALSE
urban_rural:vintage,NA:2020,447,447,100,0.0434037569473644,3.50039138970434,9.1127910026828,191.909220112718,63.5346756152125,78.7472035794183,84.1163310961969,FALSE
urban_rural:vintage,urban:2022,47986,47986,100,0.0377392358642364,1.6760740155631,6.69272599557311,25.318914650407,67.5738757137498,82.1364564664694,87.2796232234402,FALSE
urban_rural:vintage,rural:2022,23608,23608,100,0.149215890001759,18.1989565479993,31.7099147323968,79.4608705416651,47.3187055235514,59.2383937648255,64.8720772619451,FALSE
urban_rural:vintage,NA:2022,583,583,100,0.0407205816503674,3.27635245482463,9.67507584002962,80.3411559625133,64.8370497427101,79.2452830188679,84.3910806174957,FALSE
urban_rural:vintage,urban:2024,59075,59072,99.9949217096911,0.037027469612487,1.48845082059708,6.74391228597946,26.8592928034241,68.6501218851571,83.1290628385699,87.9147481040087,FALSE
urban_rural:vintage,rural:2024,27578,27578,100,0.144902231711458,19.4535248094315,33.3424673403867,84.3600003859238,47.3565885851041,59.5728479222569,65.1098701863805,FALSE
urban_rural:vintage,NA:2024,705,705,100,0.0407205816503674,2.4391581815033,9.29669275596659,57.0866466378268,66.0992907801419,80.9929078014184,86.0992907801419,FALSE
urban_rural:region,urban:Norte,13899,13899,100,0.0336791227649056,1.91187683678755,8.33239121227607,61.7431553195988,67.7674652852723,79.8546658032952,85.6392546226347,FALSE
urban_rural:region,rural:Norte,10707,10707,100,0.0574579900108064,49.6750247233574,78.5039503415431,177.419176890162,53.1428037732325,58.7372746801158,60.3997384888391,FALSE
urban_rural:region,NA:Norte,90,90,100,0.0515235417359247,22.6622548330155,46.4495450383677,57.1313581722017,57.7777777777778,64.4444444444445,70,FALSE
urban_rural:region,urban:Nordeste,53351,53351,100,0.0323878809838886,1.82271296890483,8.21399533168597,25.5118668775341,65.4495698299938,81.3443046990684,86.9149594196922,FALSE
urban_rural:region,rural:Nordeste,38906,38906,100,0.046368845971654,13.3195089712676,21.9181775624962,45.6594114746188,55.5261399270036,68.8402817046214,73.5747699583612,FALSE
urban_rural:region,NA:Nordeste,839,839,100,0.0330428223886322,1.65470558804918,6.13615665704645,15.4824512125475,65.435041716329,82.4791418355185,87.3659117997616,FALSE
urban_rural:region,urban:Sudeste,54344,54344,100,0.0350002160710101,1.01205279736028,5.33192520473707,23.4697761375598,74.1958633887826,86.4584866774621,89.9344913881937,FALSE
urban_rural:region,rural:Sudeste,4903,4903,100,0.155419234318836,16.0447669829238,25.6312145307302,60.6086953708637,46.2981847848256,58.1072812563737,63.6753008362227,FALSE
urban_rural:region,NA:Sudeste,797,797,100,0.0345478014368472,1.16837976155845,3.20182912232225,16.3474961044991,71.3927227101631,85.069008782936,89.4604767879548,FALSE
urban_rural:region,urban:Sul,40640,40640,100,0.0586125785467602,2.65854348808505,7.41119848996537,21.3297566970339,59.4438976377953,78.1176181102362,84.2741141732284,FALSE
urban_rural:region,rural:Sul,22376,22376,100,1.20863508305159,13.9236734709624,21.1913105753461,41.9139985610265,21.1521272792277,35.6810868787987,46.8269574544155,FALSE
urban_rural:region,NA:Sul,331,331,100,0.25505515890814,15.3588142158121,196.879384568772,694.522607786434,43.5045317220544,61.3293051359517,69.7885196374622,FALSE
urban_rural:region,urban:Centro-Oeste,13532,13529,99.9778303281111,0.0347841507902388,0.981632238702742,2.59245176427404,23.2948015664335,75.2235937615493,85.5717347919285,90.1470914332175,FALSE
urban_rural:region,rural:Centro-Oeste,2547,2547,100,0.0862584386238588,37.6726356503935,60.9330389148996,91.7613817736173,52.0219866509619,60.5418138987044,63.1723596387907,FALSE
urban_rural:region,NA:Centro-Oeste,77,77,100,0.0400394092648558,0.598099566407451,7.26044670083136,7.52114690068654,79.2207792207792,87.012987012987,90.9090909090909,FALSE
match_source,schools_inep_addr,60355,60355,,0.0412203914847083,3.9839630497769,12.6984133101774,38.0095818194892,67.3597879214647,80.1408334023693,84.4801590589015,FALSE
match_source,schools_inep_name,52730,52730,,0.0319831877316544,7.22683594284521,15.3157528352813,42.6718687261207,72.6853783424995,79.1959036601555,81.5019912763133,FALSE
match_source,schools_cnefe_name_2022,86882,86882,,0.0204249337161124,6.12585788642963,16.2239966479135,49.493090635099,78.53755668608,83.3003383900002,85.1119909762667,FALSE
match_source,schools_cnefe_name_2010,3418,3418,,0.440784634218732,23.9864917949283,37.8099922251693,79.1895381527406,25.2486834406085,51.521357519017,57.0801638385021,FALSE
match_source,bairro_cnefe_2022,17682,17682,,0.510251380841526,6.1741229004399,12.3338474079351,37.4827675276731,9.46159936658749,49.4061757719715,67.3283565207556,FALSE
match_source,st_cnefe_2022,17382,17382,,0.280173464815158,5.94520777958062,13.4337340447991,40.9032085758559,23.9270509722702,63.4794615119089,75.2962835116788,FALSE
match_source,st_cnefe_2010,3470,3470,,1.12476395340323,18.4606227945587,30.8885236726088,80.1206765732421,9.51008645533141,35.5043227665706,48.0115273775216,FALSE
match_source,bairro_cnefe_2010,3064,3064,,0.891602874670455,12.4324908601171,21.3094601901616,58.4838245470259,5.12402088772846,34.7584856396867,52.3498694516971,FALSE
match_source,geocodebr,6521,6521,,0.32007724039844,3.24942486430751,7.35647294086688,31.0016089698326,20.7023462659101,62.1530440116547,76.7827020395645,FALSE
match_source,bairro_cnefe_2017,5832,5832,,1.27398466768501,14.1370815434837,24.3150982188134,76.5137107850404,4.11522633744856,26.8861454046639,44.0843621399177,FALSE
