bin,n,mean_pred,mean_realized
1,25735,0.0132005224043613,0.645862610779347
2,25733,0.0211417353084047,0.836608440768929
3,25733,0.0278946913352714,0.588769289893488
4,25735,0.0372826801164943,1.45087048399797
5,25733,0.0537805190996376,1.5621136312227
6,25735,0.0869211787875674,2.20879635134331
7,25731,0.149577702675015,2.7862580367925
8,25734,0.260149599098342,3.83735852917713
9,25733,0.483671278794192,4.80451697428971
10,25734,2.40239277944989,11.9000516755025
